日付,活動区分,ｱｸﾃｨﾋﾞﾃｨ,タイトル,"記録
リンク",GPSログ,主な訪問地,都道府県,補足,"距離
[km]",獲得標高 [m],"走行・歩行
時間",車種,メーカー,モデル
2005-01-02,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-01-04,🚲,サイクリング,多摩川,,,阿蘇神社,東京,,70,,,ロード,LOOK,KG461
2005-02-27,🚲,サイクリング,都内、多摩川,,,皇居、羽田の鳥居,東京,,120,,,ロード,LOOK,KG461
2005-03-12,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、奥多摩周遊道路,東京,奥多摩周遊,150,"1,245",,ロード,LOOK,KG461
2005-03-20,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、風張峠[1143m],東京,奥多摩周遊,130,"1,100",,ロード,LOOK,KG461
2005-03-21,🚲,サイクリング,都内,,,皇居、秋葉原,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-03-27,🚲,サイクリング,奥多摩駅、多摩川,,,奥多摩駅、阿蘇神社,東京,,100,,,ロード,LOOK,KG461
2005-04-09,🚲,サイクリング,野川、多摩川,,,野川、深大寺、多摩川,東京,🌸,80,,,ロード,LOOK,KG461
2005-04-10,🚲,サイクリング,多摩散策,,,殿ヶ谷戸庭園、国分寺跡、貫井神社、滄浪泉園、野川の桜,東京,🌸,20,,,MTB,GARY FISHER,Ziggurat
2005-04-11,🚲,サイクリング,奥多摩周遊道路,,,都民の森[1000m]、風張峠[1143m],東京,奥多摩周遊,130,"1,245",,ロード,LOOK,KG461
2005-04-17,🚲,サイクリング,石和から柳沢峠経由で多摩,,,柳沢峠[1472m]、奥多摩湖,東京、山梨,,150,"1,800",,ロード,LOOK,KG461
2005-04-23,🚲,サイクリング,都内,,,靖国神社、ゼロ戦,東京,,70,,,MTB,GARY FISHER,Ziggurat
2005-04-24,🚲,サイクリング,多摩川,,,阿蘇神社,東京,🌷,50,,,ロード,LOOK,KG461
2005-04-30,🚲,サイクリング,松本,,,松本城,長野,,15,,,ロード,LOOK,KG461
2005-05-01,🚲,サイクリング,甲州街道-松本から石和,,,甲州街道,宮崎,,110,,,ロード,LOOK,KG461
2005-05-02,🚲,サイクリング,京都-新幹線輪行,,,北野天満宮、金閣寺、広隆寺,京都,,30,,,MTB,GARY FISHER,Ziggurat
2005-05-03,🚲,サイクリング,琵琶湖-京都から米原,,,琵琶湖、彦根城,京都、滋賀,,110,,,MTB,GARY FISHER,Ziggurat
2005-05-04,🚲,サイクリング,上田砥石城＆真田氏館,,,上田砥石城、真田氏館,長野,,30,,,ロード,LOOK,KG461
2005-05-05,🚲,サイクリング,真田散策,,,松代城、真田邸、象山神社、川中島古戦場,長野,,50,,,ロード,LOOK,KG461
2005-05-08,🚲,サイクリング,多摩川,,,丸子橋,東京,,60,,,ロード,LOOK,KG461
